title,actor_1,actor_2,actor_3,director,genres,all_info
outbreak,Kevin Spacey,Morgan Freeman,Rene Russo,Wolfgang Petersen,Action Drama Thriller,Kevin Spacey Morgan Freeman Rene Russo Wolfgang Petersen Action Drama Thriller
non-stop,Liam Neeson,Nate Parker,Scoot McNairy,Jaume Collet-Serra,Action Mystery Thriller,Liam Neeson Nate Parker Scoot McNairy Jaume Collet-Serra Action Mystery Thriller
race to witch mountain,Dwayne Johnson,Billy Brown,Tom Everett Scott,Andy Fickman,Action Adventure Family Fantasy Science Fiction Thriller,Dwayne Johnson Billy Brown Tom Everett Scott Andy Fickman Action Adventure Family Fantasy Science Fiction Thriller
v for vendetta,Natalie Portman,Eddie Marsan,Rupert Graves,James McTeigue,Action Drama Thriller,Natalie Portman Eddie Marsan Rupert Graves James McTeigue Action Drama Thriller
shanghai knights,Fann Wong,Anna-Louise Plowman,Georgina Chapman,David Dobkin,Action Adventure Comedy,Fann Wong Anna-Louise Plowman Georgina Chapman David Dobkin Action Adventure Comedy
unforgotten,Bernard Hill,Gemma Jones,Nicola Walker,unknown,Crime Drama,Bernard Hill Gemma Jones Nicola Walker unknown Crime Drama
curious george,Will Ferrell,Frank Welker,Alexander Gould,Matthew O'Callaghan,Adventure Animation Comedy Family,Will Ferrell Frank Welker Alexander Gould Matthew O'Callaghan Adventure Animation Comedy Family
herbie fully loaded,Scoot McNairy,Thomas Lennon,Cheryl Hines,Angela Robinson,Adventure Comedy Family Fantasy Romance Sport,Scoot McNairy Thomas Lennon Cheryl Hines Angela Robinson Adventure Comedy Family Fantasy Romance Sport
don't say a word,Oliver Platt,Jennifer Esposito,Conrad Goode,Gary Fleder,Crime Drama Mystery Thriller,Oliver Platt Jennifer Esposito Conrad Goode Gary Fleder Crime Drama Mystery Thriller
hansel & gretel: witch hunters,Jeremy Renner,Derek Mears,Ingrid Bolsø Berdal,Tommy Wirkola,Action Fantasy Horror,Jeremy Renner Derek Mears Ingrid Bolsø Berdal Tommy Wirkola Action Fantasy Horror
unfaithful,Olivier Martinez,Erik Per Sullivan,Chad Lowe,Adrian Lyne,Drama Thriller,Olivier Martinez Erik Per Sullivan Chad Lowe Adrian Lyne Drama Thriller
i am number four,Alex Pettyfer,Emily Wickersham,Reuben Langdon,D.J. Caruso,Action Adventure Science Fiction Thriller,Alex Pettyfer Emily Wickersham Reuben Langdon D.J. Caruso Action Adventure Science Fiction Thriller
syriana,Matt Damon,Amr Waked,Kayvan Novak,Stephen Gaghan,Drama Thriller,Matt Damon Amr Waked Kayvan Novak Stephen Gaghan Drama Thriller
13 hours,Toby Stephens,James Badge Dale,David Costabile,Michael Bay,Action Drama Thriller War,Toby Stephens James Badge Dale David Costabile Michael Bay Action Drama Thriller War
the book of life,Channing Tatum,Hector Elizondo,Ana de la Reguera,Jorge R. Gutiérrez,Adventure Animation Comedy Family Fantasy Romance,Channing Tatum Hector Elizondo Ana de la Reguera Jorge R. Gutiérrez Adventure Animation Comedy Family Fantasy Romance
firewall,Jimmy Bennett,Harrison Ford,Mary Lynn Rajskub,Richard Loncraine,Crime Thriller,Jimmy Bennett Harrison Ford Mary Lynn Rajskub Richard Loncraine Crime Thriller
absolute power,Clint Eastwood,Mark Margolis,Scott Glenn,Clint Eastwood,Action Crime Drama Thriller,Clint Eastwood Mark Margolis Scott Glenn Clint Eastwood Action Crime Drama Thriller
g.i. jane,Viggo Mortensen,Demi Moore,John Michael Higgins,Ridley Scott,Action Drama War,Viggo Mortensen Demi Moore John Michael Higgins Ridley Scott Action Drama War
the game,Deborah Kara Unger,Armin Mueller-Stahl,Charles Martinet,David Fincher,Drama Mystery Thriller,Deborah Kara Unger Armin Mueller-Stahl Charles Martinet David Fincher Drama Mystery Thriller
silent hill,Radha Mitchell,Deborah Kara Unger,Alice Krige,Christophe Gans,Adventure Horror Mystery,Radha Mitchell Deborah Kara Unger Alice Krige Christophe Gans Adventure Horror Mystery
the replacements,Keanu Reeves,Jon Favreau,Faizon Love,Howard Deutch,Comedy Sport,Keanu Reeves Jon Favreau Faizon Love Howard Deutch Comedy Sport
american reunion,Alyson Hannigan,Dania Ramirez,Natasha Lyonne,Jon Hurwitz,Comedy,Alyson Hannigan Dania Ramirez Natasha Lyonne Jon Hurwitz Comedy
the negotiator,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan,F. Gary Gray,Action Crime Drama Mystery Thriller,Kevin Spacey Michael Cudlitz Siobhan Fallon Hogan F. Gary Gray Action Crime Drama Mystery Thriller
into the storm,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence,Steven Quale,Action Thriller,Matt Walsh Alycia Debnam-Carey Scott Lawrence Steven Quale Action Thriller
beverly hills cop iii,Louis Lombardi,Jon Tenney,Gilbert R. Hill,John Landis,Action Comedy Crime Thriller,Louis Lombardi Jon Tenney Gilbert R. Hill John Landis Action Comedy Crime Thriller
gremlins 2: the new batch,Christopher Lee,Robert Picardo,Phoebe Cates,Joe Dante,Comedy Fantasy Horror,Christopher Lee Robert Picardo Phoebe Cates Joe Dante Comedy Fantasy Horror
the judge,Robert Downey Jr.,Robert Duvall,Leighton Meester,David Dobkin,Crime Drama,Robert Downey Jr. Robert Duvall Leighton Meester David Dobkin Crime Drama
the peacemaker,Armin Mueller-Stahl,Holt McCallany,Marcel Iures,Mimi Leder,Action Thriller,Armin Mueller-Stahl Holt McCallany Marcel Iures Mimi Leder Action Thriller
resident evil: apocalypse,Milla Jovovich,Thomas Kretschmann,Mike Epps,Alexander Witt,Action Horror Science Fiction Thriller,Milla Jovovich Thomas Kretschmann Mike Epps Alexander Witt Action Horror Science Fiction Thriller
bridget jones: the edge of reason,Colin Firth,Jim Broadbent,Celia Imrie,Beeban Kidron,Comedy Drama Romance,Colin Firth Jim Broadbent Celia Imrie Beeban Kidron Comedy Drama Romance
out of time,Denzel Washington,Sanaa Lathan,John Billingsley,Carl Franklin,Crime Drama Romance Thriller,Denzel Washington Sanaa Lathan John Billingsley Carl Franklin Crime Drama Romance Thriller
on deadly ground,Mike Starr,Joan Chen,Sven-Ole Thorsen,Steven Seagal,Action Adventure Thriller,Mike Starr Joan Chen Sven-Ole Thorsen Steven Seagal Action Adventure Thriller
the adventures of sharkboy and lavagirl 3-d,Taylor Lautner,Kristin Davis,Taylor Dooley,Robert Rodriguez,Action Adventure Family Fantasy,Taylor Lautner Kristin Davis Taylor Dooley Robert Rodriguez Action Adventure Family Fantasy
the beach,Leonardo DiCaprio,Virginie Ledoyen,Peter Youngblood Hills,Danny Boyle,Adventure Drama Thriller,Leonardo DiCaprio Virginie Ledoyen Peter Youngblood Hills Danny Boyle Adventure Drama Thriller
raising helen,Amber Valletta,Felicity Huffman,Spencer Breslin,Garry Marshall,Comedy Drama Romance,Amber Valletta Felicity Huffman Spencer Breslin Garry Marshall Comedy Drama Romance
ninja assassin,Shô Kosugi,Ben Miles,Rain,James McTeigue,Action Crime Thriller,Shô Kosugi Ben Miles Rain James McTeigue Action Crime Thriller
for love of the game,J.K. Simmons,Kelly Preston,Carmine Giovinazzo,Sam Raimi,Drama Romance Sport,J.K. Simmons Kelly Preston Carmine Giovinazzo Sam Raimi Drama Romance Sport
a touch of frost,David Jason,Bruce Alexander,John Lyons,unknown,Crime Drama Mystery,David Jason Bruce Alexander John Lyons unknown Crime Drama Mystery
striptease,Demi Moore,Rumer Willis,Paul Guilfoyle,Andrew Bergman,Comedy Crime Drama Thriller,Demi Moore Rumer Willis Paul Guilfoyle Andrew Bergman Comedy Crime Drama Thriller
marmaduke,Emma Stone,Judy Greer,Steve Coogan,Tom Dey,Comedy Family,Emma Stone Judy Greer Steve Coogan Tom Dey Comedy Family
hereafter,Matt Damon,Jay Mohr,Cécile De France,Clint Eastwood,Drama Fantasy,Matt Damon Jay Mohr Cécile De France Clint Eastwood Drama Fantasy
murder by numbers,Ryan Gosling,Chris Penn,Agnes Bruckner,Barbet Schroeder,Crime Mystery Thriller,Ryan Gosling Chris Penn Agnes Bruckner Barbet Schroeder Crime Mystery Thriller
assassins,Muse Watson,Sylvester Stallone,Kelly Rowan,Richard Donner,Action Crime Thriller,Muse Watson Sylvester Stallone Kelly Rowan Richard Donner Action Crime Thriller
hannibal rising,Li Gong,Stephen Walters,Richard Brake,Peter Webber,Crime Drama Thriller,Li Gong Stephen Walters Richard Brake Peter Webber Crime Drama Thriller
the story of us,Bruce Willis,Tim Matheson,Rita Wilson,Rob Reiner,Comedy Drama Romance,Bruce Willis Tim Matheson Rita Wilson Rob Reiner Comedy Drama Romance
the host,J.D. Evermore,Chandler Canterbury,Rachel Roberts,Andrew Niccol,Action Adventure Romance Science Fiction Thriller,J.D. Evermore Chandler Canterbury Rachel Roberts Andrew Niccol Action Adventure Romance Science Fiction Thriller
basic,Connie Nielsen,Harry Connick Jr.,Tim Daly,John McTiernan,Action Crime Drama Mystery Thriller,Connie Nielsen Harry Connick Jr. Tim Daly John McTiernan Action Crime Drama Mystery Thriller
blood work,Clint Eastwood,Anjelica Huston,Rick Hoffman,Clint Eastwood,Action Crime Drama Mystery Thriller,Clint Eastwood Anjelica Huston Rick Hoffman Clint Eastwood Action Crime Drama Mystery Thriller
the international,Naomi Watts,Brían F. O'Byrne,Armin Mueller-Stahl,Tom Tykwer,Action Crime Drama Mystery Thriller,Naomi Watts Brían F. O'Byrne Armin Mueller-Stahl Tom Tykwer Action Crime Drama Mystery Thriller
escape from l.a.,Steve Buscemi,Valeria Golino,Michelle Forbes,John Carpenter,Action Adventure Science Fiction Thriller,Steve Buscemi Valeria Golino Michelle Forbes John Carpenter Action Adventure Science Fiction Thriller
twisted,Grey Damon,Brittany Curran,Aaron Hill,unknown,Drama Mystery Thriller,Grey Damon Brittany Curran Aaron Hill unknown Drama Mystery Thriller
the iron giant,Vin Diesel,Harry Connick Jr.,M. Emmet Walsh,Brad Bird,Action Adventure Animation Comedy Drama Family Science Fiction,Vin Diesel Harry Connick Jr. M. Emmet Walsh Brad Bird Action Adventure Animation Comedy Drama Family Science Fiction
the life aquatic with steve zissou,Bill Murray,Anjelica Huston,Matthew Gray Gubler,Wes Anderson,Adventure Comedy Drama,Bill Murray Anjelica Huston Matthew Gray Gubler Wes Anderson Adventure Comedy Drama
free state of jones,Matthew McConaughey,Donald Watkins,Jessica Collins,Gary Ross,Action Biography Drama History War,Matthew McConaughey Donald Watkins Jessica Collins Gary Ross Action Biography Drama History War
the life of david gale,Kevin Spacey,Kate Winslet,Matt Craven,Alan Parker,Crime Drama Thriller,Kevin Spacey Kate Winslet Matt Craven Alan Parker Crime Drama Thriller
man of the house,Christina Milian,Vanessa Ferlito,Kelli Garner,Stephen Herek,Action Comedy,Christina Milian Vanessa Ferlito Kelli Garner Stephen Herek Action Comedy
run all night,Liam Neeson,Common,Bruce McGill,Jaume Collet-Serra,Action Crime Drama Thriller,Liam Neeson Common Bruce McGill Jaume Collet-Serra Action Crime Drama Thriller
eastern promises,Viggo Mortensen,Naomi Watts,Raza Jaffrey,David Cronenberg,Crime Mystery Thriller,Viggo Mortensen Naomi Watts Raza Jaffrey David Cronenberg Crime Mystery Thriller
into the blue,Paul Walker,James Frain,Ashley Scott,John Stockwell,Action Adventure Crime Thriller,Paul Walker James Frain Ashley Scott John Stockwell Action Adventure Crime Thriller
the messenger: the story of joan of arc,Paul Brooke,David Bailie,Rab Affleck,Luc Besson,Adventure Biography Drama History War,Paul Brooke David Bailie Rab Affleck Luc Besson Adventure Biography Drama History War
your highness,Natalie Portman,Zooey Deschanel,James Franco,David Gordon Green,Adventure Comedy Fantasy,Natalie Portman Zooey Deschanel James Franco David Gordon Green Adventure Comedy Fantasy
dream house,Naomi Watts,Gregory Smith,Sarah Gadon,Jim Sheridan,Drama Mystery Thriller,Naomi Watts Gregory Smith Sarah Gadon Jim Sheridan Drama Mystery Thriller
mad city,Mia Kirshner,Blythe Danner,William Atherton,Costa-Gavras,Crime Drama Thriller,Mia Kirshner Blythe Danner William Atherton Costa-Gavras Crime Drama Thriller
baby's day out,Joe Mantegna,Lara Flynn Boyle,Cynthia Nixon,Patrick Read Johnson,Adventure Comedy Crime Drama Family,Joe Mantegna Lara Flynn Boyle Cynthia Nixon Patrick Read Johnson Adventure Comedy Crime Drama Family
the scarlet letter,Gary Oldman,Robert Duvall,Demi Moore,Roland Joffé,Drama Romance,Gary Oldman Robert Duvall Demi Moore Roland Joffé Drama Romance
fair game,Naomi Watts,Ty Burrell,Brooke Smith,Doug Liman,Biography Drama Thriller,Naomi Watts Ty Burrell Brooke Smith Doug Liman Biography Drama Thriller
defiance,Julie Benz,Tony Curran,Grant Bowler,unknown,Action Drama Science Fiction,Julie Benz Tony Curran Grant Bowler unknown Action Drama Science Fiction
domino,Ian Ziering,Mo'Nique,Edgar Ramírez,Tony Scott,Action Biography Crime Drama Thriller,Ian Ziering Mo'Nique Edgar Ramírez Tony Scott Action Biography Crime Drama Thriller
jade,Michael Biehn,Chazz Palminteri,Linda Fiorentino,William Friedkin,Crime Drama Thriller,Michael Biehn Chazz Palminteri Linda Fiorentino William Friedkin Crime Drama Thriller
gamer,Gerard Butler,Logan Lerman,Alison Lohman,Mark Neveldine,Action Science Fiction Thriller,Gerard Butler Logan Lerman Alison Lohman Mark Neveldine Action Science Fiction Thriller
beautiful creatures,Alden Ehrenreich,Zoey Deutch,Pruitt Taylor Vince,Richard LaGravenese,Drama Fantasy Romance,Alden Ehrenreich Zoey Deutch Pruitt Taylor Vince Richard LaGravenese Drama Fantasy Romance
death to smoochy,Robin Williams,Vincent Schiavelli,Danny Woodburn,Danny DeVito,Comedy Crime Drama Thriller,Robin Williams Vincent Schiavelli Danny Woodburn Danny DeVito Comedy Crime Drama Thriller
zoolander 2,Milla Jovovich,Will Ferrell,Justin Theroux,Ben Stiller,Comedy,Milla Jovovich Will Ferrell Justin Theroux Ben Stiller Comedy
the big bounce,Morgan Freeman,Andrew Wilson,Willie Nelson,George Armitage,Comedy Crime,Morgan Freeman Andrew Wilson Willie Nelson George Armitage Comedy Crime
what planet are you from?,Judy Greer,Linda Fiorentino,Garry Shandling,Mike Nichols,Comedy Science Fiction,Judy Greer Linda Fiorentino Garry Shandling Mike Nichols Comedy Science Fiction
drive angry,Nicolas Cage,Billy Burke,Katy Mixon,Patrick Lussier,Action Fantasy Thriller,Nicolas Cage Billy Burke Katy Mixon Patrick Lussier Action Fantasy Thriller
street fighter: the legend of chun-li,Chris Klein,Robin Shou,Josie Ho,Andrzej Bartkowiak,Action Crime Drama Mystery Thriller,Chris Klein Robin Shou Josie Ho Andrzej Bartkowiak Action Crime Drama Mystery Thriller
the one,Jason Statham,Jet Li,Delroy Lindo,James Wong,Action Science Fiction Thriller,Jason Statham Jet Li Delroy Lindo James Wong Action Science Fiction Thriller
outlander,Tobias Menzies,Graham McTavish,Stephen Walters,unknown,Drama Romance Science Fiction,Tobias Menzies Graham McTavish Stephen Walters unknown Drama Romance Science Fiction
the adventures of ford fairlane,Lauren Holly,Gilbert Gottfried,David Patrick Kelly,Renny Harlin,Action Adventure Comedy Crime Music Mystery,Lauren Holly Gilbert Gottfried David Patrick Kelly Renny Harlin Action Adventure Comedy Crime Music Mystery
pirate radio,Philip Seymour Hoffman,Charlie Rowe,Tom Sturridge,Richard Curtis,Comedy Drama Music,Philip Seymour Hoffman Charlie Rowe Tom Sturridge Richard Curtis Comedy Drama Music
traffic,Michael O'Neill,Jacob Vargas,James Lew,Steven Soderbergh,Crime Drama Thriller,Michael O'Neill Jacob Vargas James Lew Steven Soderbergh Crime Drama Thriller
indiana jones and the last crusade,Harrison Ford,Julian Glover,Alison Doody,Steven Spielberg,Action Adventure Fantasy,Harrison Ford Julian Glover Alison Doody Steven Spielberg Action Adventure Fantasy
anna karenina,Kelly Macdonald,Guro Nagelhus Schia,Matthew Macfadyen,Joe Wright,Drama Romance,Kelly Macdonald Guro Nagelhus Schia Matthew Macfadyen Joe Wright Drama Romance
chappie,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo,Neill Blomkamp,Action Crime Drama Science Fiction Thriller,Hugh Jackman Sharlto Copley Jose Pablo Cantillo Neill Blomkamp Action Crime Drama Science Fiction Thriller
the bone collector,Denzel Washington,Angelina Jolie Pitt,Leland Orser,Phillip Noyce,Crime Drama Mystery Thriller,Denzel Washington Angelina Jolie Pitt Leland Orser Phillip Noyce Crime Drama Mystery Thriller
panic room,Kristen Stewart,Dwight Yoakam,Mel Rodriguez,David Fincher,Crime Drama Thriller,Kristen Stewart Dwight Yoakam Mel Rodriguez David Fincher Crime Drama Thriller
the tooth fairy,P.J. Soles,Lochlyn Munro,Steve Bacic,Chuck Bowman,Horror Thriller,P.J. Soles Lochlyn Munro Steve Bacic Chuck Bowman Horror Thriller
three kings,Judy Greer,Jamie Kennedy,Mykelti Williamson,David O. Russell,Action Adventure Comedy Drama War,Judy Greer Jamie Kennedy Mykelti Williamson David O. Russell Action Adventure Comedy Drama War
child 44,Tom Hardy,Fares Fares,Michael Nardone,Daniel Espinosa,Crime Drama Thriller,Tom Hardy Fares Fares Michael Nardone Daniel Espinosa Crime Drama Thriller
rat race,Corinna Harney,Douglas Haase,Vince Vieluf,Jerry Zucker,Adventure Comedy,Corinna Harney Douglas Haase Vince Vieluf Jerry Zucker Adventure Comedy
k-pax,Kevin Spacey,Jeff Bridges,Alfre Woodard,Iain Softley,Drama Mystery Science Fiction,Kevin Spacey Jeff Bridges Alfre Woodard Iain Softley Drama Mystery Science Fiction
kate & leopold,Hugh Jackman,Natasha Lyonne,Bradley Whitford,James Mangold,Comedy Fantasy Romance,Hugh Jackman Natasha Lyonne Bradley Whitford James Mangold Comedy Fantasy Romance
bedazzled,Brendan Fraser,Frances O'Connor,Brian Doyle-Murray,Harold Ramis,Comedy Fantasy Romance,Brendan Fraser Frances O'Connor Brian Doyle-Murray Harold Ramis Comedy Fantasy Romance
the cotton club,Nicolas Cage,Bob Hoskins,Fred Gwynne,Francis Ford Coppola,Crime Drama Music,Nicolas Cage Bob Hoskins Fred Gwynne Francis Ford Coppola Crime Drama Music
3:10 to yuma,Christian Bale,Logan Lerman,Gretchen Mol,James Mangold,Adventure Crime Drama Western,Christian Bale Logan Lerman Gretchen Mol James Mangold Adventure Crime Drama Western
taken 3,Liam Neeson,Dougray Scott,Jon Gries,Olivier Megaton,Action Thriller,Liam Neeson Dougray Scott Jon Gries Olivier Megaton Action Thriller
out of sight,Don Cheadle,Albert Brooks,Keith Hudson,Steven Soderbergh,Crime Drama Romance Thriller,Don Cheadle Albert Brooks Keith Hudson Steven Soderbergh Crime Drama Romance Thriller
the cable guy,Matthew Broderick,Janeane Garofalo,Andy Dick,Ben Stiller,Comedy Drama Thriller,Matthew Broderick Janeane Garofalo Andy Dick Ben Stiller Comedy Drama Thriller
earth,Nandita Das,Gulshan Grover,Eric Peterson,Deepa Mehta,Drama Romance War,Nandita Das Gulshan Grover Eric Peterson Deepa Mehta Drama Romance War
dick tracy,Charlie Korsmo,Warren Beatty,Seymour Cassel,Warren Beatty,Action Comedy Crime Music Romance Thriller,Charlie Korsmo Warren Beatty Seymour Cassel Warren Beatty Action Comedy Crime Music Romance Thriller
the thomas crown affair,Mark Margolis,Faye Dunaway,Denis Leary,John McTiernan,Crime Romance Thriller,Mark Margolis Faye Dunaway Denis Leary John McTiernan Crime Romance Thriller
riding in cars with boys,Rosie Perez,Adam Garcia,Alissa Dean,Penny Marshall,Biography Comedy Drama,Rosie Perez Adam Garcia Alissa Dean Penny Marshall Biography Comedy Drama
first blood,Sylvester Stallone,Brian Dennehy,Chris Mulkey,Ted Kotcheff,Action Adventure Drama,Sylvester Stallone Brian Dennehy Chris Mulkey Ted Kotcheff Action Adventure Drama
solaris,Donatas Banionis,Anatoliy Solonitsyn,Natalya Bondarchuk,Andrei Tarkovsky,Drama Mystery Science Fiction,Donatas Banionis Anatoliy Solonitsyn Natalya Bondarchuk Andrei Tarkovsky Drama Mystery Science Fiction
happily n'ever after,Sarah Michelle Gellar,George Carlin,Rob Paulsen,Paul Bolger,Adventure Animation Comedy Family Fantasy,Sarah Michelle Gellar George Carlin Rob Paulsen Paul Bolger Adventure Animation Comedy Family Fantasy
mary reilly,Julia Roberts,Bronagh Gallagher,George Cole,Stephen Frears,Drama Horror Romance Thriller,Julia Roberts Bronagh Gallagher George Cole Stephen Frears Drama Horror Romance Thriller
my best friend's wedding,Julia Roberts,Christopher Masterson,Rupert Everett,P.J. Hogan,Comedy Romance,Julia Roberts Christopher Masterson Rupert Everett P.J. Hogan Comedy Romance
america's sweethearts,Julia Roberts,Rainn Wilson,Larry King,Joe Roth,Comedy Romance,Julia Roberts Rainn Wilson Larry King Joe Roth Comedy Romance
insomnia,Al Pacino,Maura Tierney,Crystal Lowe,Christopher Nolan,Drama Mystery Thriller,Al Pacino Maura Tierney Crystal Lowe Christopher Nolan Drama Mystery Thriller
star trek: first contact,LeVar Burton,Alfre Woodard,Jonathan Frakes,Jonathan Frakes,Action Adventure Drama Science Fiction Thriller,LeVar Burton Alfre Woodard Jonathan Frakes Jonathan Frakes Action Adventure Drama Science Fiction Thriller
jonah hex,Michael Fassbender,Billy Blair,Julia Jones,Jimmy Hayward,Action Drama Fantasy Thriller Western,Michael Fassbender Billy Blair Julia Jones Jimmy Hayward Action Drama Fantasy Thriller Western
courage under fire,Denzel Washington,Matt Damon,Scott Glenn,Edward Zwick,Action Drama Mystery Thriller War,Denzel Washington Matt Damon Scott Glenn Edward Zwick Action Drama Mystery Thriller War
liar liar,Maura Tierney,Swoosie Kurtz,Randall 'Tex' Cobb,Tom Shadyac,Comedy Fantasy Romance,Maura Tierney Swoosie Kurtz Randall 'Tex' Cobb Tom Shadyac Comedy Fantasy Romance
the infiltrator,Joseph Gilgun,Amy Ryan,Olympia Dukakis,Brad Furman,Biography Crime Drama Thriller,Joseph Gilgun Amy Ryan Olympia Dukakis Brad Furman Biography Crime Drama Thriller
inchon,Laurence Olivier,Ben Gazzara,Jacqueline Bisset,Terence Young,Drama History War,Laurence Olivier Ben Gazzara Jacqueline Bisset Terence Young Drama History War
the flintstones,Jonathan Winters,Elizabeth Perkins,Harvey Korman,Brian Levant,Comedy Family Fantasy,Jonathan Winters Elizabeth Perkins Harvey Korman Brian Levant Comedy Family Fantasy
taken 2,Liam Neeson,Luke Grimes,D.B. Sweeney,Olivier Megaton,Action Crime Thriller,Liam Neeson Luke Grimes D.B. Sweeney Olivier Megaton Action Crime Thriller
scary movie 3,Regina Hall,Pamela Anderson,Jenny McCarthy,David Zucker,Comedy,Regina Hall Pamela Anderson Jenny McCarthy David Zucker Comedy
miss congeniality,Candice Bergen,Wendy Raquel Robinson,Heather Burns,Donald Petrie,Action Comedy Crime Romance,Candice Bergen Wendy Raquel Robinson Heather Burns Donald Petrie Action Comedy Crime Romance
journey to the center of the earth,Josh Hutcherson,Brendan Fraser,Anita Briem,Eric Brevig,Action Adventure Family Fantasy Science Fiction,Josh Hutcherson Brendan Fraser Anita Briem Eric Brevig Action Adventure Family Fantasy Science Fiction
the princess diaries 2: royal engagement,Anne Hathaway,Raven-Symoné,Hector Elizondo,Garry Marshall,Comedy Family Romance,Anne Hathaway Raven-Symoné Hector Elizondo Garry Marshall Comedy Family Romance
the pelican brief,Denzel Washington,Julia Roberts,Tony Goldwyn,Alan J. Pakula,Crime Drama Mystery Thriller,Denzel Washington Julia Roberts Tony Goldwyn Alan J. Pakula Crime Drama Mystery Thriller
the client,Bradley Whitford,Anthony LaPaglia,Brad Renfro,Joel Schumacher,Crime Drama Mystery Thriller,Bradley Whitford Anthony LaPaglia Brad Renfro Joel Schumacher Crime Drama Mystery Thriller
the bucket list,Morgan Freeman,Noel Gugliemi,Sean Hayes,Rob Reiner,Adventure Comedy Drama,Morgan Freeman Noel Gugliemi Sean Hayes Rob Reiner Adventure Comedy Drama
patriot games,Harrison Ford,Polly Walker,Patrick Bergin,Phillip Noyce,Action Thriller,Harrison Ford Polly Walker Patrick Bergin Phillip Noyce Action Thriller
monster-in-law,Adam Scott,Jane Fonda,Elaine Stritch,Robert Luketic,Comedy Romance,Adam Scott Jane Fonda Elaine Stritch Robert Luketic Comedy Romance
prisoners,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette,Denis Villeneuve,Crime Drama Mystery Thriller,Hugh Jackman Jake Gyllenhaal Dylan Minnette Denis Villeneuve Crime Drama Mystery Thriller
training day,Denzel Washington,Snoop Dogg,Tom Berenger,Antoine Fuqua,Crime Drama Thriller,Denzel Washington Snoop Dogg Tom Berenger Antoine Fuqua Crime Drama Thriller
galaxy quest,Alan Rickman,Enrico Colantoni,Robin Sachs,Dean Parisot,Adventure Comedy Science Fiction,Alan Rickman Enrico Colantoni Robin Sachs Dean Parisot Adventure Comedy Science Fiction
scary movie 2,Natasha Lyonne,Veronica Cartwright,Andy Richter,Keenen Ivory Wayans,Comedy,Natasha Lyonne Veronica Cartwright Andy Richter Keenen Ivory Wayans Comedy
the muppets,Bill Cobbs,Eric Jacobson,Steve Whitmire,James Bobin,Adventure Comedy Family Musical,Bill Cobbs Eric Jacobson Steve Whitmire James Bobin Adventure Comedy Family Musical
blade,Sanaa Lathan,Traci Lords,Udo Kier,Stephen Norrington,Action Horror,Sanaa Lathan Traci Lords Udo Kier Stephen Norrington Action Horror
coach carter,Channing Tatum,Rick Gonzalez,Robert Ri'chard,Thomas Carter,Drama Sport,Channing Tatum Rick Gonzalez Robert Ri'chard Thomas Carter Drama Sport
changing lanes,Sydney Pollack,Matt Malloy,Bruce Altman,Roger Michell,Drama Thriller,Sydney Pollack Matt Malloy Bruce Altman Roger Michell Drama Thriller
anaconda,Frank Welker,Eric Stoltz,Kari Wuhrer,Luis Llosa,Action Adventure Horror Thriller,Frank Welker Eric Stoltz Kari Wuhrer Luis Llosa Action Adventure Horror Thriller
coyote ugly,Adam Garcia,Tyra Banks,Izabella Miko,David McNally,Comedy Drama Music Romance,Adam Garcia Tyra Banks Izabella Miko David McNally Comedy Drama Music Romance
love actually,Colin Firth,Liam Neeson,Kris Marshall,Richard Curtis,Comedy Drama Romance,Colin Firth Liam Neeson Kris Marshall Richard Curtis Comedy Drama Romance
a bug's life,Kevin Spacey,Madeline Kahn,John Ratzenberger,John Lasseter,Adventure Animation Comedy Family Fantasy,Kevin Spacey Madeline Kahn John Ratzenberger John Lasseter Adventure Animation Comedy Family Fantasy
from hell,Johnny Depp,Jason Flemyng,Ian Richardson,Albert Hughes,Horror Mystery Thriller,Johnny Depp Jason Flemyng Ian Richardson Albert Hughes Horror Mystery Thriller
the specialist,Sylvester Stallone,Rod Steiger,Emilio Estefan Jr.,Luis Llosa,Action Crime Drama Romance Thriller,Sylvester Stallone Rod Steiger Emilio Estefan Jr. Luis Llosa Action Crime Drama Romance Thriller
tin cup,Don Johnson,Cheech Marin,Rene Russo,Ron Shelton,Comedy Drama Romance Sport,Don Johnson Cheech Marin Rene Russo Ron Shelton Comedy Drama Romance Sport
"yours, mine and ours",Lucille Ball,Tom Bosley,Tim Matheson,Melville Shavelson,Comedy Family,Lucille Ball Tom Bosley Tim Matheson Melville Shavelson Comedy Family
kicking & screaming,Josh Hutcherson,Will Ferrell,Robert Duvall,Jesse Dylan,Comedy Family Romance Sport,Josh Hutcherson Will Ferrell Robert Duvall Jesse Dylan Comedy Family Romance Sport
the hitchhiker's guide to the galaxy,Zooey Deschanel,Kelly Macdonald,Thomas Lennon,Garth Jennings,Adventure Comedy Science Fiction,Zooey Deschanel Kelly Macdonald Thomas Lennon Garth Jennings Adventure Comedy Science Fiction
fat albert,Dania Ramirez,Nick Zano,Alice Greczyn,Joel Zwick,Comedy Family Fantasy Romance,Dania Ramirez Nick Zano Alice Greczyn Joel Zwick Comedy Family Fantasy Romance
